Filename,Depth,TripCount,Total,FP,BR,Mem,Uses,Defs
s10_1024,1.0,2149319681.0,20.0,0.0,3.0,11.0,26.0,15.0
s10_128,1.0,2164260993.0,20.0,0.0,3.0,11.0,26.0,15.0
s10_16384,1.0,2147631105.0,20.0,0.0,3.0,11.0,26.0,15.0
s10_2048,1.0,2148534273.0,20.0,0.0,3.0,11.0,26.0,15.0
s10_256,1.0,2154823937.0,20.0,0.0,3.0,11.0,26.0,15.0
s10_4096,1.0,2148012033.0,20.0,0.0,3.0,11.0,26.0,15.0
s10_512,1.0,2151154177.0,20.0,0.0,3.0,11.0,26.0,15.0
s10_64,1.0,2181038139.0,20.0,0.0,3.0,11.0,26.0,15.0
s10_8192,1.0,2147753985.0,20.0,0.0,3.0,11.0,26.0,15.0
s11_1024,1.0,537330689.0,43.0,0.0,3.0,27.0,50.0,37.0
s11_128,1.0,541065345.0,43.0,0.0,3.0,27.0,50.0,37.0
s11_16384,1.0,536920065.0,43.0,0.0,3.0,27.0,50.0,37.0
s11_2048,1.0,537135105.0,43.0,0.0,3.0,27.0,50.0,37.0
s11_256,1.0,538706177.0,43.0,0.0,3.0,27.0,50.0,37.0
s11_4096,1.0,537006081.0,43.0,0.0,3.0,27.0,50.0,37.0
s11_512,1.0,537788929.0,43.0,0.0,3.0,27.0,50.0,37.0
s11_64,1.0,545259584.0,43.0,0.0,3.0,27.0,50.0,37.0
s11_8192,1.0,536944641.0,43.0,0.0,3.0,27.0,50.0,37.0
s12_1024_2_2,1.0,1075577345.0,32.0,0.0,3.0,19.0,36.0,26.0
s12_1024_2_4,1.0,538706177.0,58.0,0.0,3.0,35.0,62.0,50.0
s12_1024_2,1.0,1075577345.0,19.0,0.0,3.0,11.0,23.0,14.0
s12_1024,1.0,2149319681.0,19.0,0.0,3.0,11.0,23.0,14.0
s12_128_2_2,1.0,1090519102.0,32.0,0.0,3.0,19.0,36.0,26.0
s12_128_2_4,1.0,553648161.0,58.0,0.0,3.0,35.0,62.0,50.0
s12_128_2,1.0,1090519102.0,19.0,0.0,3.0,11.0,23.0,14.0
s12_128,1.0,2164260993.0,19.0,0.0,3.0,11.0,23.0,14.0
s12_16384_2_2,1.0,1073881089.0,32.0,0.0,3.0,19.0,36.0,26.0
s12_16384_2_4,1.0,537006081.0,58.0,0.0,3.0,35.0,62.0,50.0
s12_16384_2,1.0,1073881089.0,19.0,0.0,3.0,11.0,23.0,14.0
s12_16384,1.0,2147631105.0,19.0,0.0,3.0,11.0,23.0,14.0
s12_2048_2_2,1.0,1074660353.0,32.0,0.0,3.0,19.0,36.0,26.0
s12_2048_2_4,1.0,537788929.0,58.0,0.0,3.0,35.0,62.0,50.0
s12_2048_2,1.0,1074660353.0,19.0,0.0,3.0,11.0,23.0,14.0
s12_2048,1.0,2148534273.0,19.0,0.0,3.0,11.0,23.0,14.0
s12_256_2_2,1.0,1082130561.0,32.0,0.0,3.0,19.0,36.0,26.0
s12_256_2_4,1.0,545259584.0,58.0,0.0,3.0,35.0,62.0,50.0
s12_256_2,1.0,1082130561.0,19.0,0.0,3.0,11.0,23.0,14.0
s12_256,1.0,2154823937.0,19.0,0.0,3.0,11.0,23.0,14.0
s12_4096_2_2,1.0,1074268161.0,32.0,0.0,3.0,19.0,36.0,26.0
s12_4096_2_4,1.0,537330689.0,58.0,0.0,3.0,35.0,62.0,50.0
s12_4096_2,1.0,1074268161.0,19.0,0.0,3.0,11.0,23.0,14.0
s12_4096,1.0,2148012033.0,19.0,0.0,3.0,11.0,23.0,14.0
s12_512_2_2,1.0,1077412097.0,32.0,0.0,3.0,19.0,36.0,26.0
s12_512_2_4,1.0,541065345.0,58.0,0.0,3.0,35.0,62.0,50.0
s12_512_2,1.0,1077412097.0,19.0,0.0,3.0,11.0,23.0,14.0
s12_512,1.0,2151154177.0,19.0,0.0,3.0,11.0,23.0,14.0
s12_64_2_2,1.0,1107296289.0,32.0,0.0,3.0,19.0,36.0,26.0
s12_64_2_4,1.0,570425355.0,58.0,0.0,3.0,35.0,62.0,50.0
s12_64_2,1.0,1107296289.0,19.0,0.0,3.0,11.0,23.0,14.0
s12_64,1.0,2181038139.0,19.0,0.0,3.0,11.0,23.0,14.0
s12_8192_2_2,1.0,1074008065.0,32.0,0.0,3.0,19.0,36.0,26.0
s12_8192_2_4,1.0,537135105.0,58.0,0.0,3.0,35.0,62.0,50.0
s12_8192_2,1.0,1074008065.0,19.0,0.0,3.0,11.0,23.0,14.0
s12_8192,1.0,2147753985.0,19.0,0.0,3.0,11.0,23.0,14.0
s12n_1024_2_2,1.0,1075577345.0,56.0,0.0,3.0,35.0,60.0,48.0
s12n_1024_2,1.0,1075577345.0,30.0,0.0,3.0,19.0,35.0,24.0
s12n_1024,1.0,2149319681.0,30.0,0.0,3.0,19.0,35.0,24.0
s12n_128_2_2,1.0,1090519102.0,56.0,0.0,3.0,35.0,60.0,48.0
s12n_128_2,1.0,1090519102.0,30.0,0.0,3.0,19.0,35.0,24.0
s12n_128,1.0,2164260993.0,30.0,0.0,3.0,19.0,35.0,24.0
s12n_16384_2_2,1.0,1073881089.0,56.0,0.0,3.0,35.0,60.0,48.0
s12n_16384_2,1.0,1073881089.0,30.0,0.0,3.0,19.0,35.0,24.0
s12n_16384,1.0,2147631105.0,30.0,0.0,3.0,19.0,35.0,24.0
s12n_2048_2_2,1.0,1074660353.0,56.0,0.0,3.0,35.0,60.0,48.0
s12n_2048_2,1.0,1074660353.0,30.0,0.0,3.0,19.0,35.0,24.0
s12n_2048,1.0,2148534273.0,30.0,0.0,3.0,19.0,35.0,24.0
s12n_256_2_2,1.0,1082130561.0,56.0,0.0,3.0,35.0,60.0,48.0
s12n_256_2,1.0,1082130561.0,30.0,0.0,3.0,19.0,35.0,24.0
s12n_256,1.0,2154823937.0,30.0,0.0,3.0,19.0,35.0,24.0
s12n_4096_2_2,1.0,1074268161.0,56.0,0.0,3.0,35.0,60.0,48.0
s12n_4096_2,1.0,1074268161.0,30.0,0.0,3.0,19.0,35.0,24.0
s12n_4096,1.0,2148012033.0,30.0,0.0,3.0,19.0,35.0,24.0
s12n_512_2_2,1.0,1077412097.0,56.0,0.0,3.0,35.0,60.0,48.0
s12n_512_2,1.0,1077412097.0,30.0,0.0,3.0,19.0,35.0,24.0
s12n_512,1.0,2151154177.0,30.0,0.0,3.0,19.0,35.0,24.0
s12n_64_2_2,1.0,1107296289.0,56.0,0.0,3.0,35.0,60.0,48.0
s12n_64_2,1.0,1107296289.0,30.0,0.0,3.0,19.0,35.0,24.0
s12n_64,1.0,2181038139.0,30.0,0.0,3.0,19.0,35.0,24.0
s12n_8192_2_2,1.0,1074008065.0,56.0,0.0,3.0,35.0,60.0,48.0
s12n_8192_2,1.0,1074008065.0,30.0,0.0,3.0,19.0,35.0,24.0
s12n_8192,1.0,2147753985.0,30.0,0.0,3.0,19.0,35.0,24.0
s12nn_1024_2_2,1.0,1075577345.0,80.0,0.0,3.0,51.0,84.0,70.0
s12nn_1024_2,1.0,1075577345.0,41.0,0.0,3.0,27.0,47.0,34.0
s12nn_1024,1.0,2149319681.0,41.0,0.0,3.0,27.0,47.0,34.0
s12nn_128_2_2,1.0,1090519102.0,80.0,0.0,3.0,51.0,84.0,70.0
s12nn_128_2,1.0,1090519102.0,41.0,0.0,3.0,27.0,47.0,34.0
s12nn_128,1.0,2164260993.0,41.0,0.0,3.0,27.0,47.0,34.0
s12nn_16384_2_2,1.0,1073881089.0,80.0,0.0,3.0,51.0,84.0,70.0
s12nn_16384_2,1.0,1073881089.0,41.0,0.0,3.0,27.0,47.0,34.0
s12nn_16384,1.0,2147631105.0,41.0,0.0,3.0,27.0,47.0,34.0
s12nn_2048_2_2,1.0,1074660353.0,80.0,0.0,3.0,51.0,84.0,70.0
s12nn_2048_2,1.0,1074660353.0,41.0,0.0,3.0,27.0,47.0,34.0
s12nn_2048,1.0,2148534273.0,41.0,0.0,3.0,27.0,47.0,34.0
s12nn_256_2_2,1.0,1082130561.0,80.0,0.0,3.0,51.0,84.0,70.0
s12nn_256_2,1.0,1082130561.0,41.0,0.0,3.0,27.0,47.0,34.0
s12nn_256,1.0,2154823937.0,41.0,0.0,3.0,27.0,47.0,34.0
s12nn_4096_2_2,1.0,1074268161.0,80.0,0.0,3.0,51.0,84.0,70.0
s12nn_4096_2,1.0,1074268161.0,41.0,0.0,3.0,27.0,47.0,34.0
s12nn_4096,1.0,2148012033.0,41.0,0.0,3.0,27.0,47.0,34.0
s12nn_512_2_2,1.0,1077412097.0,80.0,0.0,3.0,51.0,84.0,70.0
s12nn_512_2,1.0,1077412097.0,41.0,0.0,3.0,27.0,47.0,34.0
s12nn_512,1.0,2151154177.0,41.0,0.0,3.0,27.0,47.0,34.0
s12nn_64_2_2,1.0,1107296289.0,80.0,0.0,3.0,51.0,84.0,70.0
s12nn_64_2,1.0,1107296289.0,41.0,0.0,3.0,27.0,47.0,34.0
s12nn_64,1.0,2181038139.0,41.0,0.0,3.0,27.0,47.0,34.0
s12nn_8192_2_2,1.0,1074008065.0,80.0,0.0,3.0,51.0,84.0,70.0
s12nn_8192_2,1.0,1074008065.0,41.0,0.0,3.0,27.0,47.0,34.0
s12nn_8192,1.0,2147753985.0,41.0,0.0,3.0,27.0,47.0,34.0
s13_1024,1.0,269353217.0,66.0,0.0,3.0,33.0,73.0,60.0
s13_128,1.0,276824097.0,66.0,0.0,3.0,33.0,73.0,60.0
s13_16384,1.0,268505089.0,66.0,0.0,3.0,33.0,73.0,60.0
s13_2048,1.0,268894721.0,66.0,0.0,3.0,33.0,73.0,60.0
s13_256,1.0,272629857.0,66.0,0.0,3.0,33.0,73.0,60.0
s13_4096,1.0,268665857.0,66.0,0.0,3.0,33.0,73.0,60.0
s13_512,1.0,270532737.0,66.0,0.0,3.0,33.0,73.0,60.0
s1_1024,1.0,1074660353.0,21.0,0.0,3.0,12.0,27.0,16.0
s1_128,1.0,1082130561.0,21.0,0.0,3.0,12.0,27.0,16.0
s1_16384,1.0,1073823745.0,21.0,0.0,3.0,12.0,27.0,16.0
s1_2048,1.0,1074268161.0,21.0,0.0,3.0,12.0,27.0,16.0
s1_256,1.0,1077412097.0,21.0,0.0,3.0,12.0,27.0,16.0
s13_64,1.0,285212694.0,66.0,0.0,3.0,33.0,73.0,60.0
s13_8192,1.0,268568577.0,66.0,0.0,3.0,33.0,73.0,60.0
s15_1024_1024,2.0,2099969.0,45.0,0.0,7.0,27.0,51.0,32.0
s15_1024_128,2.0,16792577.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_1024_16384,2.0,132209.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_1024_2048,2.0,1050497.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_1024_256,2.0,8396801.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_1024_4096,2.0,525761.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_1024_512,2.0,4198913.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_1024_64,2.0,33584129.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_1024_8192,2.0,263393.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_128_1024,2.0,2113665.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_128_128,2.0,16908417.0,45.0,0.0,7.0,27.0,51.0,32.0
s15_128_16384,2.0,132225.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_128_2048,2.0,1056897.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_128_256,2.0,8454273.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_128_4096,2.0,528513.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_128_512,2.0,4227201.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_128_64,2.0,33816705.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_128_8192,2.0,264321.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_16384_1024,2.0,2113665.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_16384_128,2.0,16794625.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_16384_2048,2.0,1065025.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_16384_256,2.0,8405505.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_16384_4096,2.0,540705.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_16384_512,2.0,4210945.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_16384_64,2.0,33572865.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_16384_8192,2.0,278545.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_2048_1024,2.0,2100225.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_2048_128,2.0,16787457.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_2048_16384,2.0,133185.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_2048_2048,2.0,1051137.0,45.0,0.0,7.0,27.0,51.0,32.0
s15_2048_256,2.0,8394753.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_2048_4096,2.0,526593.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_2048_512,2.0,4198401.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_2048_64,2.0,33572865.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_2048_8192,2.0,264321.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_256_1024,2.0,2104577.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_256_128,2.0,16834817.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_256_16384,2.0,131777.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_256_2048,2.0,1052417.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_256_256,2.0,8417537.0,45.0,0.0,7.0,27.0,51.0,32.0
s15_256_4096,2.0,526337.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_256_512,2.0,4208897.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_256_64,2.0,33669377.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_256_8192,2.0,263297.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_4096_1024,2.0,2101761.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_4096_128,2.0,16785409.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_4096_16384,2.0,135201.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_4096_2048,2.0,1052929.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_4096_256,2.0,8394753.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_4096_4096,2.0,528513.0,45.0,0.0,7.0,27.0,51.0,32.0
s15_4096_512,2.0,4199425.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_4096_64,2.0,33566721.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_4096_8192,2.0,266305.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_512_1024,2.0,2101249.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_512_128,2.0,16806401.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_512_16384,2.0,131809.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_512_2048,2.0,1050881.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_512_256,2.0,8403457.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_512_4096,2.0,525697.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_512_512,2.0,4201985.0,45.0,0.0,7.0,27.0,51.0,32.0
s15_512_64,2.0,33612289.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_512_8192,2.0,263105.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_64_1024,2.0,2125889.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_64_128,2.0,17006657.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_64_16384,2.0,132929.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_64_2048,2.0,1062977.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_64_256,2.0,8503361.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_64_4096,2.0,531521.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_64_512,2.0,4251713.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_64_64,2.0,34013249.0,45.0,0.0,7.0,27.0,51.0,32.0
s15_64_8192,2.0,265793.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_8192_1024,2.0,2105601.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_8192_128,2.0,16787457.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_8192_16384,2.0,139281.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_8192_2048,2.0,1056897.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_8192_256,2.0,8397825.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_8192_4096,2.0,532545.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_8192_512,2.0,4203009.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_8192_64,2.0,33566721.0,45.0,0.0,7.0,27.0,52.0,32.0
s15_8192_8192,2.0,270369.0,45.0,0.0,7.0,27.0,51.0,32.0
s16_1024_1024_2,3.0,2947.0,57.0,0.0,11.0,32.0,62.0,38.0
s16_1024_1024_4,3.0,2501.0,57.0,0.0,11.0,32.0,62.0,38.0
s16_1024_1024_8,3.0,2313.0,57.0,0.0,11.0,32.0,62.0,38.0
s16_1024_128_2,3.0,23555.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_128_4,3.0,19973.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_128_8,3.0,18441.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_16384_2,3.0,187.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_16384_4,3.0,161.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_16384_8,3.0,153.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_2048_2,3.0,1475.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_2048_4,3.0,1253.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_2048_8,3.0,1161.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_256_2,3.0,11779.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_256_4,3.0,9989.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_256_8,3.0,9225.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_4096_2,3.0,739.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_4096_4,3.0,629.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_4096_8,3.0,585.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_512_2,3.0,5891.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_512_4,3.0,4997.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_512_8,3.0,4617.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_64_2,3.0,47107.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_64_4,3.0,39941.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_64_8,3.0,36873.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_8192_2,3.0,371.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_8192_4,3.0,317.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_1024_8192_8,3.0,297.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_1024_2,3.0,23555.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_1024_4,3.0,19973.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_1024_8,3.0,18441.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_128_2,3.0,188419.0,57.0,0.0,11.0,32.0,62.0,38.0
s16_128_128_4,3.0,159749.0,57.0,0.0,11.0,32.0,62.0,38.0
s16_128_128_8,3.0,147465.0,57.0,0.0,11.0,32.0,62.0,38.0
s16_128_16384_2,3.0,1475.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_16384_4,3.0,1253.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_16384_8,3.0,1161.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_2048_2,3.0,11779.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_2048_4,3.0,9989.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_2048_8,3.0,9225.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_256_2,3.0,94211.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_256_4,3.0,79877.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_256_8,3.0,73737.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_4096_2,3.0,5891.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_4096_4,3.0,4997.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_4096_8,3.0,4617.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_512_2,3.0,47107.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_512_4,3.0,39941.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_512_8,3.0,36873.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_64_2,3.0,376835.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_64_4,3.0,319493.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_64_8,3.0,294921.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_8192_2,3.0,2947.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_8192_4,3.0,2501.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_128_8192_8,3.0,2313.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_16384_1024_2,3.0,187.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_16384_1024_4,3.0,161.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_16384_1024_8,3.0,153.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_16384_128_2,3.0,1475.0,57.0,0.0,11.0,32.0,63.0,38.0
s16_16384_128_4,3.0,1253.0,57.0,0.0,11.0,32.0,63.0,38.0
